pca_id,group,camphene,alpha_phellandrene,limonene,ocimene,terpinolene,terpinen_four_ol,methyl_salicylate,bornyl_acetate,alpha_humulene,methyl_jasmonate,alpha_pinene,beta_myrcene,alpha_terpinene,beta_phellandrene,fenchone,camphor,alpha_terpineol,eugenol,beta_caryophyllene,trimethyl_trideca,cis_three_hexen_one_ol,sabinene,beta_pinene,p_cymene,eucalyptol,gamma_terpinene,linalool,linalool_oxide,longifolene,beta_farnesene,one_four_cineole,menthol,borneol,citronellol,alpha_copaene
sample_p11_12pm_como_fall_2023,cf12,-1.296031726,-0.979603635,0.319644444,0.426908161,-1.37509637,-0.396360531,-1.138704401,-0.91485425,-1.414610474,-1.410693957,-0.319170483,-0.732358553,-1.21929541,1.012134773,-0.77902887,-1.014381213,-2.469833038,-2.798452775,-1.898497064,-1.859524197,-2.221534869,-0.210333834,-1.008357614,-0.826651405,-1.685013334,-1.224294726,-0.361976796,-2.03079097,-2.122317394,-1.18883237,-1.686053904,-1.436737821,-2.322077665,-2.018023209,-2.037344931
sample_p11_6pm_como_fall_2023,cf6,-1.808887527,-1.721329348,0.089184309,0.193724021,-1.486766403,-0.557482826,-1.120993079,-0.821493762,-1.295146634,-1.349735907,-0.514506824,-0.948683775,-1.436036512,0.778949432,-0.970483536,-1.120288117,-2.486008009,-2.748595446,-1.909176295,-2.129160873,-2.136435394,-0.430060248,-1.036869076,-0.506597796,-1.125695124,-1.498622418,-0.727719252,-2.084284655,-1.64482029,-1.15136484,-1.679410712,-1.004540635,-1.890670816,-1.492094566,-2.644012954
sample_p11_8am_como_fall_2023,cf8,-1.26899615,0.087150927,0.419254189,0.532631127,-1.150632599,-1.634601481,-0.956669665,-1.021084443,-1.677627125,-2.062723696,-0.291896418,-0.647630614,-1.1006196,1.117856683,-0.797500708,-0.958975564,-2.542456443,-2.793763202,-1.817068103,-2.723150633,-1.949070575,0.076654453,-0.824753554,-0.39512296,-0.836184117,0.189537868,-0.241358131,-1.684655814,-1.396420164,-0.869642767,-1.405731165,-0.996809506,-1.800774993,-1.511034632,-2.825400358
sample_p14_12pm_como_fall_2023,cf12,-1.10873183,-0.81999076,0.288941803,0.374638919,-1.293119267,-0.201236531,-1.261605713,-1.666211491,-1.192609676,-1.230530211,-0.24498461,-0.723741655,-1.172923255,0.959864224,-0.778142346,-0.863205565,-1.937803464,-2.882223381,-1.937714438,-1.892489594,-1.879159825,-0.229711845,-0.725591134,-0.320186644,-1.003728215,-1.172226832,-0.63890365,-1.900482423,-1.334444518,-0.276620402,-2.437978756,-1.055367783,-1.272915147,-1.425113754,-3.04295721
sample_p14_6pm_como_fall_2023,cf6,-1.337077494,-1.524184096,0.145565505,-1.2647681,-1.512077716,-0.872636005,-1.290044226,-1.255968974,-1.460032225,-1.589905771,-0.425833505,-0.918888115,-1.282531723,0.794630673,-0.907510588,-1.171215425,-2.193965712,#NAME?,-2.230963263,-2.818689068,-2.294362175,-0.276477958,-0.969655186,-1.07050692,-1.150837192,-1.281912172,-0.297992174,-2.13663975,-2.479548266,-1.346569403,-1.669997534,-1.0911416,-1.959938267,-1.627033645,-2.740017706
sample_p14_8am_como_fall_2023,cf8,-1.139275475,-0.004854761,0.304396836,0.440624348,-1.822478233,-0.617439309,-0.991563811,-1.293384675,-1.862314539,-2.163775215,-1.098432795,-0.753483467,-1.205421539,1.025849585,-0.916097964,-1.266700371,-2.730812602,-2.916302268,-1.92211537,-2.458408372,-1.640159604,-0.225127844,-0.91073435,-0.529159586,-1.082143146,-1.213102765,-1.250654417,-2.06851634,-1.952897883,-0.818469711,-2.712873463,-1.234364478,-1.931080544,-1.418476664,-3.060642808
sample_p9_12pm_como_fall_2023,cf12,-1.422454288,0.207759553,0.544431936,0.65324083,-1.133992604,-0.298611006,-1.129565397,-0.862508012,-1.681218368,-1.680070778,-0.188786879,-0.490239562,-1.020632486,1.23846606,-0.584834082,-0.899266591,-2.060339745,-2.860143794,-1.711366886,-2.127154876,-1.547809041,-0.036421045,-0.764756919,-0.580187119,-0.666414406,0.307257377,-0.383920126,-2.143958842,-1.458002887,-1.246382579,-1.897222774,-1.071488268,-1.7760718,-1.513855866,-2.828990548
sample_p9_6pm_como_fall_2023,cf6,-1.367414149,-1.033437447,0.210259942,0.290219657,-1.428109788,-1.700969468,-1.392704542,-1.186563404,-1.658675896,-1.66771062,-0.312228387,-0.786193892,-1.327272307,0.875444983,-0.895660482,-1.020702142,-2.341114875,-2.850965366,-2.491024995,-2.883894577,-2.546872679,-0.443158551,-0.892348476,-0.807954942,-1.001685301,-1.226313126,-0.237796522,-1.897445146,-1.237164882,-0.921539579,-1.887112223,-0.870364301,-2.121707644,-1.568156286,-2.967494638
sample_p9_8am_como_fall_2023,cf8,-1.665359626,-0.624521265,-0.254424923,-1.550254221,-1.585182351,-0.613596773,-1.137369671,-1.176359508,-1.434734144,-1.498801117,-0.584356078,-1.2623305,-1.7418942,0.406185843,-0.648221494,-1.107969727,-2.399540118,-2.742669415,-2.314218808,-2.232379208,-1.996992638,-0.605484119,-0.998265758,-1.200103506,-1.86254167,-1.639374943,-1.034314378,-2.015625617,-2.460931827,-0.305594911,-2.325422997,-0.921086601,-1.822708879,-0.409028215,-2.921626678
sample_p11_12pm_como_spring_2024,csp12,-2.185550915,-3.031215977,-1.686128609,-1.52019321,-0.637171215,-0.923434788,-1.483343138,-1.493756507,-1.861786979,-1.159074838,-2.194448262,-2.860362156,-2.164332873,-0.986044126,-2.625420585,-1.610435385,-2.619389899,-1.042722239,-2.371037877,-2.263304622,#NAME?,-2.517326177,-2.665588823,-2.013799779,-2.425176848,-2.058604411,-0.9145148,-1.774400562,-2.589787309,0.197067321,-1.963430091,-1.33973618,-1.86733388,-1.500663944,-2.374208135
sample_p11_6pm_como_spring_2024,csp6,-1.926368517,-2.960880478,-1.236544952,-1.815273786,-2.150674725,-0.854407742,-1.207027951,-1.264416563,-1.797731977,-0.772756908,-1.217308124,-2.194246846,-2.081041927,-1.49348267,-2.267174516,-1.885789548,-2.312720597,-0.672974838,-1.588565401,-2.727650948,-2.522748519,-1.298229548,-1.792708032,-1.657574918,-2.375362618,-2.998960267,-0.746121304,-1.449706238,-2.125001703,-0.048956474,-1.774984755,-1.167649728,-1.646001328,-1.507918281,-2.998662422
